,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCTOT,unemployed
2543910,2543910,2007,200701,605629,995014.0,101.0,2007006056291,25,0.0,130025,1,2,99.0,2,67,6,62,3,30,7800,0
5156476,5156476,2011,201101,413878,351371.0,35.0,2011004138781,17,0.0,110217,1,3,17.0,2,16,4,40,3,30,0,0
12142530,12142530,2019,201901,745378,2019000751518.0,58.0,2019007453781,29,0.0,40029,1,1,58.0,2,46,7,71,2,20,14000,1
8698971,8698971,2015,201501,604626,668717.0,333.0,2015006046261,25,0.0,30225,1,1,333.0,1,49,6,63,1,10,43000,0
3909244,3909244,2007,200701,1233894,1233937.0,175.0,2007012338941,48,479.0,600048,1,2,172.0,2,16,4,40,3,30,0,0
3764680,3764680,2007,200701,1171061,373352.0,220.0,2007011710611,48,0.0,530248,1,1,220.0,1,40,2,21,1,10,50000,0
3132113,3132113,2007,200701,875738,1148838.0,80.0,2007008757381,36,1.0,240236,1,1,81.0,2,59,6,62,1,10,48140,0
5477020,5477020,2011,201101,558237,892383.0,228.0,2011005582371,23,11.0,60023,1,1,227.0,1,62,10,101,1,10,109800,0
5001314,5001314,2011,201101,346748,1495580.0,199.0,2011003467481,12,0.0,90012,1,1,199.0,2,34,4,40,1,10,35000,0
13529050,13529050,2019,201901,1358595,2019010119032.0,14.0,2019013585951,53,33.0,1160153,4,1,14.0,1,56,6,63,2,20,0,1
3012714,3012714,2007,200701,821248,272038.0,56.0,2007008212481,36,27.0,320136,1,3,67.0,2,16,3,30,3,30,0,0
6486525,6486525,2011,201101,1007923,1435248.0,209.0,2011010079231,40,0.0,50040,1,2,178.0,2,63,7,71,1,10,22000,0
13540906,13540906,2019,201901,1363743,2019000206895.0,78.0,2019013637431,53,63.0,1050353,1,1,78.0,2,69,8,81,3,30,12100,0
11672558,11672558,2019,201901,531806,2019000657139.0,26.0,2019005318061,20,0.0,90020,1,3,6.0,2,32,7,71,3,30,4500,0
8811675,8811675,2015,201501,655660,1145617.0,96.0,2015006556601,26,161.0,270326,1,1,95.0,1,77,6,64,3,30,76500,0
5335041,5335041,2011,201101,493273,728723.0,30.0,2011004932731,19,0.0,10019,1,1,31.0,1,68,6,63,3,30,18800,0
12573237,12573237,2019,201901,936155,2019000241799.0,86.0,2019009361551,37,119.0,310637,1,1,86.0,1,67,10,101,1,10,182300,0
3775777,3775777,2007,200701,1175862,438872.0,25.0,2007011758621,48,0.0,360048,1,2,18.0,1,42,4,40,1,10,18000,0
13083122,13083122,2019,201901,1169433,2019000404883.0,57.0,2019011694331,47,0.0,160347,1,2,42.0,2,34,0,2,1,10,15000,0
6305590,6305590,2011,201101,925327,1193428.0,17.0,2011009253271,37,25.0,130037,1,2,16.0,1,43,6,63,1,10,47000,0
8631588,8631588,2015,201501,574827,574266.0,110.0,2015005748271,24,25.0,60124,1,2,109.0,2,54,6,64,1,10,54000,0
13341858,13341858,2019,201901,1279371,2019001086484.0,53.0,2019012793711,48,251.0,210248,1,1,53.0,1,92,6,65,3,30,67300,0
2922280,2922280,2007,200701,780327,814047.0,112.0,2007007803271,34,23.0,90134,1,1,114.0,1,53,6,62,1,10,63000,0
2889223,2889223,2007,200701,766265,292444.0,91.0,2007007662651,34,39.0,180034,1,1,88.0,2,54,11,114,1,10,98000,0
