OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_route,routes,route_filter,route_sort,mode,direction,trips_wd,trips_sa,trips_su,trips_7d,svc_days,agency,feed_version,start_date,end_date,from_gtfs,change_log,comments,status_code,status_notes,status_start_date,status_end_date,GEOIDFQ,county,muni,hood,munihood_full,munihood_display,empty_feat,x,y,,,,,,,,Count,median_housing_cost,,,,,,
198428,S00550,20268,22ND AVE AT WEST ST,40.39744,-79.902637,S00550-53,53,53,53,BUS,IB,0,14,8,22,"SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034846002013,"Allegheny County, PA","Munhall borough (Allegheny, PA)",,"Munhall bgh, Allegheny County",Munhall bgh,0,-79.902637,40.39744,,,,,,,,26,235408,,,,,,
198429,S00550,20268,22ND AVE AT WEST ST,40.39744,-79.902637,S00550-53L,53L,53L,53L,BUS,IB,19,0,0,95,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034846002013,"Allegheny County, PA","Munhall borough (Allegheny, PA)",,"Munhall bgh, Allegheny County",Munhall bgh,0,-79.902637,40.39744,,,,,,,,239,292318,,,,,,
198430,S00550,20268,22ND AVE AT WEST ST,40.39744,-79.902637,S00550,"53,53L",All Routes,00,BUS,IB,19,14,8,117,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034846002013,"Allegheny County, PA","Munhall borough (Allegheny, PA)",,"Munhall bgh, Allegheny County",Munhall bgh,0,-79.902637,40.39744,,,,,,,,263,464690,,,,,,
198431,E00175,2593,26TH ST AT PENN AVE FS (SPRING WAY),40.454586,-79.978073,E00175-54,54,54,54,BUS,IB,27,16,11,162,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030203001073,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Strip District,"Strip District, Pittsburgh",Strip District,0,-79.978073,40.454586,,,,,,,,45,376697,,,,,,
198432,E00175,2593,26TH ST AT PENN AVE FS (SPRING WAY),40.454586,-79.978073,E00175-88,88,88,88,BUS,IB,35,29,28,232,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030203001073,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Strip District,"Strip District, Pittsburgh",Strip District,0,-79.978073,40.454586,,,,,,,,218,286700,,,,,,
198433,E00175,2593,26TH ST AT PENN AVE FS (SPRING WAY),40.454586,-79.978073,E00175-91,91,91,91,BUS,IB,70,30,31,411,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030203001073,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Strip District,"Strip District, Pittsburgh",Strip District,0,-79.978073,40.454586,,,,,,,,88,62347,,,,,,
198434,E00175,2593,26TH ST AT PENN AVE FS (SPRING WAY),40.454586,-79.978073,E00175,"54,88,91",All Routes,00,BUS,IB,132,75,70,805,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030203001073,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Strip District,"Strip District, Pittsburgh",Strip District,0,-79.978073,40.454586,,,,,,,,235,455971,,,,,,
198435,E00180,2161,28TH ST AT LIBERTY AVE,40.456319,-79.974662,E00180-54,54,54,54,BUS,IB,26,18,11,159,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030605001001,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Polish Hill,"Polish Hill, Pittsburgh",Polish Hill,0,-79.974662,40.456319,,,,,,,,22,233113,,,,,,
198436,E00180,2161,28TH ST AT LIBERTY AVE,40.456319,-79.974662,E00180,54,All Routes,00,BUS,IB,26,18,11,159,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030605001001,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Polish Hill,"Polish Hill, Pittsburgh",Polish Hill,0,-79.974662,40.456319,,,,,,,,58,100867,,,,,,
198437,S01280,10988,2ND ST AT GRANT AVE,40.37326,-79.847059,S01280-59,59,59,59,BUS,IB,26,18,14,162,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034867002009,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.847059,40.37326,,,,,,,,128,207279,,,,,,
198438,S01290,10885,2ND ST AT GRANT AVE,40.37303,-79.846878,S01290-52L,52L,52L,52L,BUS,IB,8,0,0,40,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001007,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846878,40.37303,,,,,,,,261,764946,,,,,,
198439,S01280,10988,2ND ST AT GRANT AVE,40.37326,-79.847059,S01280-61C,61C,61C,61C,BUS,OB,61,49,31,385,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034867002009,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.847059,40.37326,,,,,,,,38,163643,,,,,,
198440,S01290,10885,2ND ST AT GRANT AVE,40.37303,-79.846878,S01290-61C,61C,61C,61C,BUS,IB,61,49,31,385,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001007,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846878,40.37303,,,,,,,,172,84554,,,,,,
